County,pop_density,Total_votes,TOTAL VOTERS,AI,AP,BH,HP,WH,OT,UK,BidenVoteShare,TrumpVoteShare,Turnout,voteChange,TurnoutChange,Median household income,Education,senior,youth,old_margin,new_margin,margin_change,past_result,current_result,urbanicity,in_atlanta_metro,Turnout2016
Appling,36.32760117,8341,11440,0.13,0.47,17.49,2.01,72.8,0.67,6.42,21.33,78.24,72.91,19.07,9.53,36155,17.6,24.75524476,19.58041958,-57.96,-56.91,1.05,Rep,Rep,Rural,No,63.38
Atkinson,24.44752195,3155,4801,0.19,0.1,18.85,7.58,67.32,0.69,5.27,26.15,72.9,65.72,20.88,6.3,33834,13.8,21.47469277,24.05748802,-45.25,-46.75,-1.5,Rep,Rep,Rural,No,59.42
Bacon,43.29801222,4668,6726,0.07,0.27,12.61,1.55,79.16,0.56,5.78,13.39,86.08,69.4,16.15,5.25,31429,21.3,23.84775498,19.52126078,-68.57,-72.69,-4.12,Rep,Rep,Rural,No,64.15
Baker,9.773644499,1555,2258,0.09,0.53,40.83,0.89,52.35,0.49,4.83,41.93,57.68,68.87,7.99,1.82,27462,18.8,27.90079717,18.06908769,-8.68,-15.75,-7.07,Rep,Rep,Rural,No,67.05
Baldwin,177.8389699,18251,26742,0.12,0.91,40.69,0.86,51.46,0.74,5.23,50.08,48.78,68.25,13.46,3.02,37237,25.5,23.15458829,21.20260265,1.7,1.3,-0.4,Dem,Dem,Suburban,No,65.23
Banks,78.92196993,8801,12905,0.19,0.92,2.08,2.26,86.87,0.78,6.9,10.59,88.57,68.2,26.63,0.14,40455,16.9,21.5497869,20.97636575,-78.42,-77.98,0.44,Rep,Rep,Rural,No,68.06
Barrow,442.0996819,37921,55694,0.22,2.69,11.34,5.64,70.19,1.43,8.49,27.57,70.68,68.09,31.53,3.65,48958,25.6,17.48123676,22.37404388,-50.39,-43.11,7.28,Rep,Rep,Suburban,No,64.44
Bartow,219.286678,50467,74380,0.23,0.67,9.57,3.24,76.18,1.16,8.95,23.96,74.65,67.85,28.4,6.65,49216,25.6,18.54261898,22.08254907,-55.21,-50.69,4.52,Rep,Rep,Suburban,Yes,61.2
Ben Hill,70.15432592,6560,9892,0.13,0.57,33.83,1.73,59.13,0.68,3.94,36.46,62.65,66.32,10.61,4.36,30134,19.1,25.30327537,19.90497372,-27.62,-26.19,1.43,Rep,Rep,Rural,No,61.96
Berrien,42.24607214,7743,11317,0.32,0.34,10.12,1.59,82.8,0.71,4.14,16.39,82.9,68.42,17.6,7.35,32202,23,23.23937439,19.13934788,-66.45,-66.51,-0.06,Rep,Rep,Rural,No,61.07
Bibb,621.5446829,70802,108126,0.21,1.28,51.55,1.16,39.15,1.33,5.32,61.39,37.55,65.48,13.69,3.24,38798,31,21.43147809,22.52094778,20.46,23.84,3.38,Dem,Dem,Urban,No,62.24
Bleckley,59.81377681,5706,7558,0.12,0.66,19.93,0.66,74.25,0.73,3.65,22.98,75.85,75.5,15.44,5.03,35661,24.3,24.35829585,19.91267531,-52.97,-52.87,0.1,Rep,Rep,Rural,No,70.47
Brantley,41.73749887,7746,11302,0.21,0.18,2.4,0.53,91.06,0.63,4.99,9.02,90.25,68.54,23.11,6.92,37343,16.5,21.22633162,20.08494072,-78.64,-81.23,-2.59,Rep,Rep,Rural,No,61.62
Brooks,31.97647297,7100,11170,0.16,0.32,35.13,1.68,56.45,0.94,5.31,39.3,60,63.56,12.38,1.69,41309,19.6,25.06714414,18.86302596,-18.57,-20.7,-2.13,Rep,Rep,Rural,No,61.87
Bryan,73.82388696,21340,30651,0.33,1.62,13.29,3.43,70.33,1.8,9.2,31.58,66.75,69.62,41.47,10.41,63244,42.3,15.3437082,20.89654497,-43.19,-35.17,8.02,Rep,Rep,Rural,No,59.21
Bulloch,106.924689,30084,44737,0.15,0.83,23.58,1.42,62.8,1.21,10.01,37.37,61.12,67.25,19.15,8.9,34327,35.9,18.28017078,27.34649172,-23.11,-23.75,-0.64,Rep,Rep,Rural,No,58.35
Burke,27.97683108,10684,16570,0.19,0.32,43.99,0.91,46.35,0.86,7.38,48.76,50.54,64.48,14.26,1.28,33155,19.1,21.51478576,21.01388051,2.56,-1.78,-4.34,Dem,Rep,Rural,No,63.2
Butts,127.2791366,11768,17195,0.3,0.29,21.84,1.2,67.67,0.91,7.79,27.8,71.42,68.44,24.17,2.57,52257,14.1,21.03518465,20.75021809,-43.8,-43.62,0.18,Rep,Rep,Rural,No,65.87
Calhoun,23.35841923,2194,3187,0,0.75,57.7,0.72,35.99,0.35,4.49,57.43,42.07,68.84,8.35,2.87,30522,14.4,26.79636021,17.88515846,17.23,15.36,-1.87,Dem,Dem,Rural,No,65.97
Camden,83.50951029,23688,35141,0.25,1.18,15.86,2.37,60.48,1.56,18.31,33.63,64.38,67.41,25.54,12.9,49230,32.6,20.96696167,21.30559745,-33.81,-30.75,3.06,Rep,Rep,Rural,No,54.51
Candler,45.49045425,4432,6328,0.11,0.35,21.44,2.59,65.36,0.47,9.67,28.63,70.71,70.04,17.78,4.34,35828,21.6,25.90075853,19.32680152,-43.52,-42.08,1.44,Rep,Rep,Rural,No,65.7
Carroll,224.1564479,54474,83866,0.22,0.62,16.96,2.13,70,1.36,8.71,29.81,68.8,64.95,24.26,2.17,45559,23.7,18.90158109,23.68063339,-40.07,-38.99,1.08,Rep,Rep,Suburban,No,62.78
Catoosa,400.5611741,32593,45785,0.22,0.77,2.03,1.06,84.71,0.75,10.46,21.27,77.22,71.19,22.86,10.5,46544,29.8,23.31549634,19.51294092,-60.71,-55.95,4.76,Rep,Rep,Suburban,No,60.69
Charlton,16.93166835,4566,6562,0.18,0.52,19.29,0.5,65.97,0.87,12.66,24.16,74.88,69.58,13.89,5.39,40850,15.7,23.19414813,19.65864066,-48.57,-50.72,-2.15,Rep,Rep,Rural,No,64.19
Chatham,645.5843729,133420,202999,0.26,1.72,36.18,2.7,49.44,1.83,7.87,58.65,39.9,65.72,19.68,8.62,44928,39.7,21.06069488,21.92818684,14.89,18.75,3.86,Dem,Dem,Urban,No,57.1
Chattahoochee,47.62402509,1582,3943,0.15,1.9,24.37,6.9,50.75,2.23,13.7,42.16,55.63,40.12,13.81,7.64,51089,37.8,10.80395638,36.41897033,-11.3,-13.47,-2.17,Rep,Rep,Rural,No,32.48
Chattooga,81.33018446,10050,14183,0.18,0.32,6.51,1.05,81.35,0.87,9.71,18.45,80.24,70.86,21.79,10.25,32419,16,24.55756892,18.87470916,-58.76,-61.79,-3.03,Rep,Rep,Rural,No,60.61
Cherokee,526.3618469,144830,190605,0.18,1.38,5.76,4.08,77.13,1.5,9.95,29.55,68.76,75.98,30.6,7.33,66320,42.5,20.5036594,20.19569266,-49.98,-39.21,10.77,Rep,Rep,Suburban,Yes,68.65
Clarke,1004.035235,51333,76848,0.17,1.87,26.46,4.01,56.2,1.83,9.46,70.22,28.14,66.8,15.77,8.09,34253,47,17.73500937,30.98193837,38.09,42.08,3.99,Dem,Dem,Urban,No,58.71
Clay,15.91769884,1434,2053,0.05,0.15,54.07,0.19,41.01,0.1,4.43,55.09,44.42,69.85,12.82,2.19,26250,14.6,31.17389187,16.02532879,10.31,10.67,0.36,Dem,Dem,Rural,No,67.66
Clayton,1866.36293,112344,194338,0.24,2.94,70.21,4.35,10.31,2.61,9.34,84.99,14.08,57.81,21.44,4.35,43311,26.9,13.62059916,26.32269551,70.88,70.91,0.03,Dem,Dem,Urban,Yes,53.46
Clinch,8.468921047,2864,4345,0.28,0.3,26.97,0.78,65.59,0.6,5.48,26.08,73.5,65.91,17.04,6.71,31963,19.9,22.46260069,19.51668585,-42.55,-47.42,-4.87,Rep,Rep,Rural,No,59.2
