County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Appling                       9242                          2948                          362                           2182                          2                             5494                          677                           159                           598                           0                             1434                          41                            9                             27                            0                             77                            7005                          
Atkinson                      3695                          843                           58                            972                           5                             1878                          367                           30                            299                           1                             697                           24                            1                             10                            0                             35                            2610                          
Bacon                         5385                          1142                          134                           2082                          6                             3364                          268                           37                            303                           0                             608                           21                            4                             22                            0                             47                            4019                          
Baker                         1974                          396                           76                            302                           1                             775                           319                           69                            261                           1                             650                           11                            1                             3                             0                             15                            1440                          
Baldwin                       21052                         2929                          330                           4433                          5                             7697                          3143                          724                           4099                          4                             7970                          192                           27                            200                           0                             419                           16086                         
Banks                         8581                          3079                          195                           2858                          2                             6134                          352                           40                            292                           0                             684                           77                            6                             49                            0                             132                           6950                          
Barrow                        37213                         8881                          755                           11471                         1                             21108                         2832                          371                           3377                          0                             6580                          656                           46                            441                           0                             1143                          28831                         
Bartow                        52253                         15525                         1038                          13327                         21                            29911                         4051                          440                           3715                          6                             8212                          788                           44                            349                           2                             1183                          39306                         
Ben Hill                      7899                          907                           115                           2712                          5                             3739                          670                           117                           1311                          3                             2101                          33                            11                            47                            0                             91                            5931                          
Berrien                       10920                         2351                          267                           2790                          14                            5422                          508                           90                            444                           5                             1047                          55                            13                            46                            1                             115                           6584                          
Bibb                          86854                         12591                         1413                          9998                          41                            24043                         16118                         2241                          18265                         163                           36787                         903                           85                            452                           7                             1447                          62277                         
Bleckley                      6162                          1505                          136                           2076                          2                             3719                          479                           113                           502                           7                             1101                          56                            1                             66                            0                             123                           4943                          
Brantley                      8304                          2510                          200                           2851                          6                             5567                          304                           42                            273                           0                             619                           66                            5                             34                            1                             106                           6292                          
Brooks                        8642                          1769                          156                           1754                          22                            3701                          1041                          460                           1003                          24                            2528                          43                            5                             37                            4                             89                            6318                          
Bryan                         20151                         3899                          286                           6336                          8                             10529                         1465                          235                           2312                          2                             4014                          256                           30                            256                           0                             542                           15085                         
Bulloch                       34926                         7334                          591                           7142                          30                            15097                         3961                          430                           4851                          19                            9261                          458                           27                            405                           0                             890                           25248                         
Burke                         12481                         2254                          256                           1981                          0                             4491                          2484                          654                           1593                          0                             4731                          76                            12                            41                            0                             129                           9351                          
Butts                         12556                         1769                          186                           4762                          0                             6717                          814                           88                            1664                          0                             2566                          70                            6                             118                           0                             194                           9477                          
Calhoun                       2694                          445                           44                            340                           1                             830                           751                           106                           321                           1                             1179                          13                            0                             3                             0                             16                            2025                          
Camden                        25319                         4876                          608                           6813                          13                            12310                         2092                          466                           3364                          8                             5930                          331                           48                            250                           0                             629                           18869                         
