County,Sub/Urb/Rural
Appling,Rural
Atkinson,Rural
Bacon,Rural
Baker,Rural
Baldwin,Suburban
Banks,Rural
Barrow,Suburban
Bartow,Suburban
Ben Hill,Rural
Berrien,Rural
Bibb,Urban
Bleckley,Rural
Brantly,Rural
Brooks,Rural
Bryan,Rural
Bulloch,Suburban
Burke,Rural
Butts,Rural
Calhoun,Rural
Camden,Suburban
Candler,Rural
Carroll,Suburban
Catoosa,Suburban
Charlton,Rural
Chatham,Urban
Chattahoochee,Rural
Chattooga,Rural
Cherokee,Suburban
Clarke,Urban
Clay,Rural
Clayton,Urban
Clinch,Rural
Cobb,Suburban
Coffee,Suburban
Colquitt,Suburban
Columbia,Suburban
Cook,Rural
Coweta,Suburban
Crawford,Rural
Crisp,Rural
Dade,Rural
Dawson,Rural
Decatur,Rural
DeKalb,Urban
Dodge,Rural
Dooly,Rural
Dougherty,Suburban
Douglas,Suburban
Early,Rural
Echols,Rural
Effingham,Suburban
Elbert,Rural
Emanuel,Rural
Evans,Rural
Fannin,Rural
Fayette,Suburban
Floyd,Suburban
Forsyth,Suburban
Franklin,Rural
Fulton,Urban
Gilmer,Rural
Glascock,Rural
Glynn,Suburban
Gordon,Suburban
Grady,Rural
Greene,Rural
Gwinnett,Suburban
Habersham,Suburban
Hall,Suburban
Hancock,Rural
Haralson,Rural
Harris,Rural
Hart,Rural
Heard,Rural
Henry,Suburban
Houston,Suburban
Irwin,Rural
Jackson,Suburban
Jasper,Rural
Jeff Davis,Rural
Jefferson,Rural
Jenkins,Rural
Johnson,Rural
Jones,Rural
Lamar,Rural
Lanier,Rural
Laurens,Suburban
Lee,Rural
Liberty,Rural
Lincoln,Rural
Long,Rural
Lowndes,Suburban
Lumpkin,Rural
Macon,Rural
Madison,Rural
Marion,Rural
McDuffie,Rural
McIntosh,Rural
Meriwether,Rural
Miller,Rural
Mitchell,Rural
Monroe,Rural
Montgomery,Rural
Morgan,Rural
Murray,Suburban
Muscogee,Urban
Newton,Suburban
Oconee,Rural
Oglethorpe,Rural
Paulding,Suburban
Peach,Rural
Pickens,Rural
Pierce,Rural
Pike,Rural
Polk,Suburban
Pulaski,Rural
Putnam,Rural
Quitman,Rural
Rabun,Rural
Randolph,Rural
Richmond,Urban
Rockdale,Suburban
Schley,Rural
Screven,Rural
Seminole,Rural
Spalding,Suburban
Stephens,Rural
Stewart,Rural
Sumter,Rural
Talbot,Rural
Taliaferro,Rural
Tattnall,Rural
Taylor,Rural
Telfair,Rural
Terrell,Rural
Thomas,Suburban
Tift,Suburban
Toombs,Rural
Towns,Rural
Treutlen,Rural
Troup,Suburban
Turner,Rural
Twiggs,Rural
Union,Rural
Upson,Rural
Walker,Suburban
Walton,Suburban
Ware,Suburban
Warren,Rural
Washington,Rural
Wayne,Rural
Webster,Rural
Wheeler,Rural
White,Rural
Whitfield,Suburban
Wilcox,Rural
Wilkes,Rural
Wilkinson,Rural
Worth,Rural
